Acronym, ID, redgreenblue
MARN, 307, 255179217
MDRN, 395, 255179217
MDRNd, 1098, 255179217
MDRNv, 1107, 255179217
PARN, 852, 255179217
PAS, 859, 255179217
PGRN, 938, 255179217
PGRNd, 970, 255179217
PGRNl, 978, 255179217
PHY, 154, 255179217
NIS, 161, 255179217
NR, 177, 255179217
PRP, 169, 255179217
PMR, 995, 255179217
PPY, 1069, 255179217
PPYd, 185, 255179217
PPYs, 193, 255179217
VNC, 701, 255179217
LAV, 209, 255179217
MV, 202, 255179217
SPIV, 225, 255179217
SUV, 217, 255179217
x, 765, 255179217
XII, 773, 255179217
y, 781, 255179217
INV, 76, 255179217
MY-sat, 379, 255198226
RM, 206, 255198226
RPA, 230, 255198226
RO, 222, 255198226
CB, 512, 240240128
CBX, 528, 240240128
VERM, 645, 255252145
LING, 912, 255252145
LINGmo, 10707, 255252145
LINGpu, 10706, 255252145
LINGgr, 10705, 23623184
CENT, 920, 255252145
CENT2, 976, 255252145
CENT2mo, 10710, 255252145
CENT2pu, 10709, 255252145
CENT2gr, 10708, 23623184
CENT3, 984, 255252145
CENT3mo, 10713, 255252145
CENT3pu, 10712, 255252145
CENT3gr, 10711, 23623184
